sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
NC1=NC=2C=C(Cl)C=CC2O1,Z89267039,168.58,168.58,1.893,-2.67,1,2,52.05,0,https://real.enamine.net/public-enum-files/Z89267039
CC=1C=CC(=CC1)S(N)(=O)=O,Z45415564,171.218,171.218,0.804,-1.85,1,2,60.16,1,https://real.enamine.net/public-enum-files/Z45415564
CC=1C=CC(O)=C(C1)C(=O)O,Z147642456,152.148,152.148,2.686,-1.63,2,3,57.53,1,https://real.enamine.net/public-enum-files/Z147642456
NC=1C=CC=2N=CC=CC2C1,Z255114686,144.174,144.174,1.477,-1.85,1,2,38.91,0,https://real.enamine.net/public-enum-files/Z255114686
NS(=O)(=O)C=1C=CC=C(F)C1,Z45415568,175.182,175.182,0.694,-1.62,1,2,60.16,1,https://real.enamine.net/public-enum-files/Z45415568
NC=1C(F)=CC=CC1C(=O)O,Z362758748,155.127,155.127,1.398,-1.63,2,3,63.32,1,https://real.enamine.net/public-enum-files/Z362758748
NC=1C=CC=C(F)C1C(=O)O,Z424764636,155.127,155.127,1.118,-1.63,2,3,63.32,1,https://real.enamine.net/public-enum-files/Z424764636
OC=1C=CN=C2C=CC=CC12,Z818727120,145.158,145.158,2.316,-1.62,1,2,33.12,0,https://real.enamine.net/public-enum-files/Z818727120
COC=1C=CC(=CC1)S(N)(=O)=O,Z45415561,187.218,187.218,0.549,-1.36,1,3,69.39,2,https://real.enamine.net/public-enum-files/Z45415561
O=C(O)C1=CC=C2OCOC2=C1,Z104476884,166.131,166.131,1.972,-2.12,1,4,55.76,1,https://real.enamine.net/public-enum-files/Z104476884
O=C1NS(=O)(=O)C2=CC=CC=C12,Z256708526,183.186,183.186,0.718,-1.77,1,3,63.24,0,https://real.enamine.net/public-enum-files/Z256708526
O=C(O)C1=CNC2=CC=CC=C12,Z89283908,161.158,161.158,2.131,-2.33,2,2,53.09,1,https://real.enamine.net/public-enum-files/Z89283908
O=C(O)C1=CC=CC(=N1)C(=O)O,Z57202012,167.119,167.119,1.078,-1.04,2,5,87.49,2,https://real.enamine.net/public-enum-files/Z57202012
OCC=1C=CC=C2OCCOC12,Z440625162,166.174,166.174,1.028,-1.45,1,3,38.69,1,https://real.enamine.net/public-enum-files/Z440625162
O=C(O)C=1C=CC=C2OCOC12,Z553832512,166.131,166.131,1.972,-2.12,1,4,55.76,1,https://real.enamine.net/public-enum-files/Z553832512
CC1=CC=2C=CC=CC2NC1=O,Z1198181962,159.185,159.185,1.311,-2.89,1,1,29.1,0,https://real.enamine.net/public-enum-files/Z1198181962
O=C1CNC=2C=C(Br)C=CC2N1,Z1269175847,227.058,227.058,1.672,-2.37,2,2,41.13,0,https://real.enamine.net/public-enum-files/Z1269175847
NS(=O)(=O)C=1C=CC(=CC1)C(=O)O,Z53021532,201.201,201.201,0.452,-1.48,2,4,97.46,2,https://real.enamine.net/public-enum-files/Z53021532
O=C(O)CC1=NOC=2C=CC=CC12,Z99600464,177.157,177.157,0.777,-1.58,1,3,63.33,2,https://real.enamine.net/public-enum-files/Z99600464
O=C(O)COC=1C(Cl)=CC=CC1Cl,Z56928539,221.037,221.037,2.505,-2.99,1,3,46.53,3,https://real.enamine.net/public-enum-files/Z56928539
O=C(O)C1=CC2=CC=C(Cl)C=C2N1,Z119990438,195.602,195.602,2.925,-3.42,2,2,53.09,1,https://real.enamine.net/public-enum-files/Z119990438
O=C(O)C=1C=CC=C2OCCOC12,Z316118634,180.158,180.158,1.931,-2.04,1,4,55.76,1,https://real.enamine.net/public-enum-files/Z316118634
CC(=O)C1=CNC=2C=C(F)C=CC12,Z234897299,177.175,177.175,2.198,-2.85,1,1,32.86,1,https://real.enamine.net/public-enum-files/Z234897299
O=C(O)C1=CNC=2C=C(Cl)C=CC12,Z385446076,195.602,195.602,2.925,-3.09,2,2,53.09,1,https://real.enamine.net/public-enum-files/Z385446076
O=C(NCCO)C=1C=CC(Cl)=CC1,Z31725206,199.634,199.634,1.215,-2.25,2,2,49.33,4,https://real.enamine.net/public-enum-files/Z31725206
O=C(O)CN1C(=O)C=2C=CC=CC2C1=O,Z56175684,205.167,205.167,0.881,-2.42,1,4,74.68,2,https://real.enamine.net/public-enum-files/Z56175684
O=C1CNC=2C=CC(=CC2N1)C(F)(F)F,Z147641710,216.16,216.16,1.977,-2.31,2,2,41.13,1,https://real.enamine.net/public-enum-files/Z147641710
O=C(C=1C=CC=C(O)C1)N2CCOCC2,Z31721188,207.226,207.226,0.646,-1.779,1,3,49.77,2,https://real.enamine.net/public-enum-files/Z31721188
CN1N=CC(C(=O)O)=C1C=2C=CC=CC2,Z808584750,202.21,202.21,1.559,-1.9,1,3,55.12,2,https://real.enamine.net/public-enum-files/Z808584750
C1=CC=2C(=CC=CC2N1)N3CCNCC3,Z1509140701,201.268,201.268,1.574,-2.254,2,2,31.06,1,https://real.enamine.net/public-enum-files/Z1509140701
CC(=O)N1CCN(CC1)C=2C=CC(O)=CC2,Z28269747,220.268,220.268,0.512,-1.677,1,3,43.78,2,https://real.enamine.net/public-enum-files/Z28269747
NC(=O)C=1C=CC=CC1O,Z68590124,137.136,137.136,1.277,-1.17,2,2,63.32,1,https://real.enamine.net/public-enum-files/Z68590124
O=C(O)C=1C=CC(O)=CC1,Z104498098,138.121,138.121,1.557,-1.12,2,3,57.53,1,https://real.enamine.net/public-enum-files/Z104498098
CC(=O)C=1C=CC(O)=C(C)C1,Z57221419,150.175,150.175,1.904,-1.63,1,2,37.3,1,https://real.enamine.net/public-enum-files/Z57221419
O=C1CCNC(=O)N1,Z57033885,114.103,114.103,-1.232,0.34,2,2,58.2,0,https://real.enamine.net/public-enum-files/Z57033885
NS(=O)(=O)C1=CC=CS1,Z45415560,163.22,163.22,0.179,-1.62,1,2,60.16,1,https://real.enamine.net/public-enum-files/Z45415560
NC(=O)C=1C=NC=CN1,Z33546644,123.113,123.113,-0.676,0.47,1,3,68.87,1,https://real.enamine.net/public-enum-files/Z33546644
CC1=CC=C(O1)C(=O)O,Z56895714,126.11,126.11,1.56,-1.06,1,2,50.44,1,https://real.enamine.net/public-enum-files/Z56895714
N#CC=1C=CC=CC1O,Z104477750,119.121,119.121,1.597,-1.27,1,2,44.02,0,https://real.enamine.net/public-enum-files/Z104477750
NS(=O)(=O)C=1C=CC=CC1,Z45415554,157.192,157.192,0.305,-1.33,1,2,60.16,1,https://real.enamine.net/public-enum-files/Z45415554
CC(=O)C=1C=CC(Br)=CC1,Z57127459,199.044,199.044,2.52,-2.89,0,1,17.07,1,https://real.enamine.net/public-enum-files/Z57127459
CCOC=1C=CC=CC1O,Z104480244,138.164,138.164,1.853,-1.35,1,2,29.46,2,https://real.enamine.net/public-enum-files/Z104480244
NC=1C=CC=C2C=NNC12,Z235348069,133.151,133.151,1.036,-1.77,2,2,54.7,0,https://real.enamine.net/public-enum-files/Z235348069
COC=1C=CC(N)=CC1F,Z362635046,141.143,141.143,1.159,-1.51,1,2,35.25,1,https://real.enamine.net/public-enum-files/Z362635046
CC=1C=CC(O)=C(CO)N1,Z1104852895,139.152,139.152,0.793,0.18,2,3,53.35,1,https://real.enamine.net/public-enum-files/Z1104852895
OC=1C=CC=2C=NNC2C1,Z1198147845,134.136,134.136,1.634,-1.55,2,2,48.91,0,https://real.enamine.net/public-enum-files/Z1198147845
OCC1=NC=2C=CC=CC2N1,Z56791635,148.162,148.162,0.527,-1.31,2,2,48.91,1,https://real.enamine.net/public-enum-files/Z56791635
NS(=O)(=O)C=1C=CC(F)=CC1,Z45415567,175.182,175.182,0.694,-1.62,1,2,60.16,1,https://real.enamine.net/public-enum-files/Z45415567
CCC=1C=CC(=CC1)C(=O)O,Z104478474,150.175,150.175,2.913,-2.55,1,2,37.3,2,https://real.enamine.net/public-enum-files/Z104478474
CC=1C=CC(F)=CC1C(=O)O,Z203881854,154.139,154.139,2.325,-2.32,1,2,37.3,1,https://real.enamine.net/public-enum-files/Z203881854
O=C(O)C1=CC=2C=CSC2N1,Z235000792,167.186,167.186,1.882,-2.87,2,2,53.09,1,
CC=1C=CC=C(N)C1C(=O)O,Z802851752,151.163,151.163,1.407,-1.86,2,3,63.32,1,https://real.enamine.net/public-enum-files/Z802851752
OC=1C=CC(=CC1)N2C=CN=C2,Z56969320,160.173,160.173,1.734,-1.14,1,2,38.05,1,https://real.enamine.net/public-enum-files/Z56969320
Cl.NC1CCN(CC1)C(=O)C2CC2,Z1455658966,204.697,168.237,-1.422,-1.763,1,2,46.33,2,https://real.enamine.net/public-enum-files/Z1455658966
O=C(O)C1CC=2C=CC=CC2C1,Z607808530,162.186,162.186,1.788,-1.69,1,2,37.3,1,https://real.enamine.net/public-enum-files/Z607808530
O=C(O)C1=CC=C2NC=CC2=C1,Z1118536235,161.158,161.158,2.067,-2.41,2,2,53.09,1,https://real.enamine.net/public-enum-files/Z1118536235
BrC=1C=CC(=CC1)C2=CNC=N2,Z1269191577,223.069,223.069,2.953,-3.35,1,1,28.68,1,https://real.enamine.net/public-enum-files/Z1269191577
CCCC=1C=CC(=CC1)S(N)(=O)=O,Z45415607,199.271,199.271,1.862,-2.89,1,2,60.16,3,https://real.enamine.net/public-enum-files/Z45415607
COC(=O)C1=CNC=2N=CC=CC12,Z1079133092,176.172,176.172,1.321,-1.91,1,2,54.98,2,https://real.enamine.net/public-enum-files/Z1079133092
NC=1C=CC=C(C1)OC=2C=CC=CN2,Z404012058,186.21,186.21,1.516,-2.61,1,2,48.14,2,https://real.enamine.net/public-enum-files/Z404012058
CC=1ON=C(C1C(=O)O)C=2C=CC=CC2,Z104482458,203.195,203.195,1.614,-2.36,1,3,63.33,2,https://real.enamine.net/public-enum-files/Z104482458
FC(F)(F)C=1C=CC(=NC1)OC2CCNCC2,Z976688982,246.229,246.229,2.057,-2.118,1,3,34.15,3,https://real.enamine.net/public-enum-files/Z976688982
COC(=O)C=1C=CC(O)=CC1,Z19674820,152.148,152.148,1.985,-1.3,1,2,46.53,2,https://real.enamine.net/public-enum-files/Z19674820
O=C(O)C=1C=CC(O)=C(F)C1,Z57073754,156.111,156.111,1.633,-1.41,2,3,57.53,1,https://real.enamine.net/public-enum-files/Z57073754
CC=1C=CC(N)=CC1,Z57127875,107.153,107.153,1.414,-1.69,1,1,26.02,0,https://real.enamine.net/public-enum-files/Z57127875
O=C(O)C1=CC=CO1,Z104473462,112.084,112.084,1.061,-0.88,1,2,50.44,1,https://real.enamine.net/public-enum-files/Z104473462
OCCN1C=CC=N1,Z425794824,112.13,112.13,-0.435,0.66,1,2,38.05,2,https://real.enamine.net/public-enum-files/Z425794824
CC=1N=CSC1CCO,Z104477768,143.208,143.208,0.126,-0.5,1,2,33.12,2,https://real.enamine.net/public-enum-files/Z104477768
CC1(CCCC1)C(=O)O,Z199537270,128.169,128.169,1.797,-1.44,1,2,37.3,1,https://real.enamine.net/public-enum-files/Z199537270
